id,text,question_id,question_tag,label_id,label_tag
1007820375181418498,"A G&P promoveu a Campanha de Vacinação contra a gripe Influenza HH1N1 para os seus colaboradores, em prol da saúde e bem-estar da nossa equipe. 🙂🙂🙂 #gep #eusougep #eufacopartegep #vacinaçãoh1n1",32,is_activism,105,is_advocacy
1007820375181418498,"A G&P promoveu a Campanha de Vacinação contra a gripe Influenza HH1N1 para os seus colaboradores, em prol da saúde e bem-estar da nossa equipe. 🙂🙂🙂 #gep #eusougep #eufacopartegep #vacinaçãoh1n1",35,is_liberty_related,112,not_liberty_related
1007820375181418498,"A G&P promoveu a Campanha de Vacinação contra a gripe Influenza HH1N1 para os seus colaboradores, em prol da saúde e bem-estar da nossa equipe. 🙂🙂🙂 #gep #eusougep #eufacopartegep #vacinaçãoh1n1",33,is_narrative,108,not_narrative
1007820375181418498,"A G&P promoveu a Campanha de Vacinação contra a gripe Influenza HH1N1 para os seus colaboradores, em prol da saúde e bem-estar da nossa equipe. 🙂🙂🙂 #gep #eusougep #eufacopartegep #vacinaçãoh1n1",34,is_safety_related,109,not_safety_related
1007820375181418498,"A G&P promoveu a Campanha de Vacinação contra a gripe Influenza HH1N1 para os seus colaboradores, em prol da saúde e bem-estar da nossa equipe. 🙂🙂🙂 #gep #eusougep #eufacopartegep #vacinaçãoh1n1",30,related,99,related
1007820375181418498,"A G&P promoveu a Campanha de Vacinação contra a gripe Influenza HH1N1 para os seus colaboradores, em prol da saúde e bem-estar da nossa equipe. 🙂🙂🙂 #gep #eusougep #eufacopartegep #vacinaçãoh1n1",31,sentiment,102,positive
1015392483575058432,"Se você vacinar seu filho nos primeiros 6 anos de vida estarão injetando nele o seguinte: • 17,500 mcg 2-Fenoxietanol (anticongelante) • 5,700 mcg alumínio (neurotoxina) • Quantidades desconhecidas de... <url>",32,is_activism,105,is_advocacy
1015392483575058432,"Se você vacinar seu filho nos primeiros 6 anos de vida estarão injetando nele o seguinte: • 17,500 mcg 2-Fenoxietanol (anticongelante) • 5,700 mcg alumínio (neurotoxina) • Quantidades desconhecidas de... <url>",35,is_liberty_related,111,is_liberty_related
1015392483575058432,"Se você vacinar seu filho nos primeiros 6 anos de vida estarão injetando nele o seguinte: • 17,500 mcg 2-Fenoxietanol (anticongelante) • 5,700 mcg alumínio (neurotoxina) • Quantidades desconhecidas de... <url>",33,is_narrative,108,not_narrative
1015392483575058432,"Se você vacinar seu filho nos primeiros 6 anos de vida estarão injetando nele o seguinte: • 17,500 mcg 2-Fenoxietanol (anticongelante) • 5,700 mcg alumínio (neurotoxina) • Quantidades desconhecidas de... <url>",34,is_safety_related,109,not_safety_related
1015392483575058432,"Se você vacinar seu filho nos primeiros 6 anos de vida estarão injetando nele o seguinte: • 17,500 mcg 2-Fenoxietanol (anticongelante) • 5,700 mcg alumínio (neurotoxina) • Quantidades desconhecidas de... <url>",30,related,99,related
1015392483575058432,"Se você vacinar seu filho nos primeiros 6 anos de vida estarão injetando nele o seguinte: • 17,500 mcg 2-Fenoxietanol (anticongelante) • 5,700 mcg alumínio (neurotoxina) • Quantidades desconhecidas de... <url>",31,sentiment,104,negative
1017415461862952960,"Pq tomar vacina?, me sinto na coluna da água igual um fitoplâncton, não recomendo tomarem, sensação de estar apenas existindo",32,is_activism,106,not_advocacy
1017415461862952960,"Pq tomar vacina?, me sinto na coluna da água igual um fitoplâncton, não recomendo tomarem, sensação de estar apenas existindo",35,is_liberty_related,111,is_liberty_related
1017415461862952960,"Pq tomar vacina?, me sinto na coluna da água igual um fitoplâncton, não recomendo tomarem, sensação de estar apenas existindo",33,is_narrative,107,is_narrative
1017415461862952960,"Pq tomar vacina?, me sinto na coluna da água igual um fitoplâncton, não recomendo tomarem, sensação de estar apenas existindo",34,is_safety_related,110,not_safety_related
1017415461862952960,"Pq tomar vacina?, me sinto na coluna da água igual um fitoplâncton, não recomendo tomarem, sensação de estar apenas existindo",30,related,99,related
1017415461862952960,"Pq tomar vacina?, me sinto na coluna da água igual um fitoplâncton, não recomendo tomarem, sensação de estar apenas existindo",31,sentiment,104,negative
1024433854612996098,"Fui tomar vacina, tive q aguentar uma fila enorme e um bando de criança gritando do meu lado. Minha mãe perdeu minha cartela de vacina, agora terei q toma 9 vacinas. Meu braço ainda ta doendo <url>",32,is_activism,106,not_advocacy
1024433854612996098,"Fui tomar vacina, tive q aguentar uma fila enorme e um bando de criança gritando do meu lado. Minha mãe perdeu minha cartela de vacina, agora terei q toma 9 vacinas. Meu braço ainda ta doendo <url>",35,is_liberty_related,111,not_liberty_related
1024433854612996098,"Fui tomar vacina, tive q aguentar uma fila enorme e um bando de criança gritando do meu lado. Minha mãe perdeu minha cartela de vacina, agora terei q toma 9 vacinas. Meu braço ainda ta doendo <url>",33,is_narrative,107,is_narrative
1024433854612996098,"Fui tomar vacina, tive q aguentar uma fila enorme e um bando de criança gritando do meu lado. Minha mãe perdeu minha cartela de vacina, agora terei q toma 9 vacinas. Meu braço ainda ta doendo <url>",34,is_safety_related,110,not_safety_related
1024433854612996098,"Fui tomar vacina, tive q aguentar uma fila enorme e um bando de criança gritando do meu lado. Minha mãe perdeu minha cartela de vacina, agora terei q toma 9 vacinas. Meu braço ainda ta doendo <url>",30,related,99,related
1024433854612996098,"Fui tomar vacina, tive q aguentar uma fila enorme e um bando de criança gritando do meu lado. Minha mãe perdeu minha cartela de vacina, agora terei q toma 9 vacinas. Meu braço ainda ta doendo <url>",31,sentiment,104,negative
1025722957136625664,"Pessoal, vamos ficar atentos para colocar a carteira de vacinação em dia e afastar de nossas crianças essas doenças que já estavam erradicadas no Brasil. <url>",32,is_activism,106,is_advocacy
1025722957136625664,"Pessoal, vamos ficar atentos para colocar a carteira de vacinação em dia e afastar de nossas crianças essas doenças que já estavam erradicadas no Brasil. <url>",35,is_liberty_related,112,not_liberty_related
1025722957136625664,"Pessoal, vamos ficar atentos para colocar a carteira de vacinação em dia e afastar de nossas crianças essas doenças que já estavam erradicadas no Brasil. <url>",33,is_narrative,108,not_narrative
