id,text,question_id,question_tag,label_id,label_tag
1116019164634857473,Qm é q fura a orelha em casa sozinha e tem medo d tomar vacina?!klkkkk eu ne,22,related,75,related
1116019164634857473,Qm é q fura a orelha em casa sozinha e tem medo d tomar vacina?!klkkkk eu ne,23,sentiment,80,negative
1116019172176224263,"* PROPOSTA DE EMENDA À CONSTITUIÇÃO  PEC  06/2019.  50. Ricos tendem a se aposentar mais cedo e com maiores valores. Em geral, em especial no setor urbano, os trabalhadores socialmente mais favorecidos - valor médio de cerca de R$ 2.231,00. <url>",22,related,75,related
1116019172176224263,"* PROPOSTA DE EMENDA À CONSTITUIÇÃO  PEC  06/2019.  50. Ricos tendem a se aposentar mais cedo e com maiores valores. Em geral, em especial no setor urbano, os trabalhadores socialmente mais favorecidos - valor médio de cerca de R$ 2.231,00. <url>",23,sentiment,79,positive
1116019306918289409,"No hemisfério sul, a vacinação contra a gripe é recomendada entre os meses de março a maio. <url>",22,related,75,related
1116019306918289409,"No hemisfério sul, a vacinação contra a gripe é recomendada entre os meses de março a maio. <url>",23,sentiment,79,positive
1116019461067243520,"Campanha de vacinação, pessoal! Vamos nos proteger! <url>",22,related,75,related
1116019461067243520,"Campanha de vacinação, pessoal! Vamos nos proteger! <url>",23,sentiment,78,positive
1116019537990889473,"Vacinação contra influenza começa hoje (10), e segue até o dia 31 de maio em sete unidades de saúde da cidade. . #IMPACTO #ImpactoNotícias #Adamantina <url>",22,related,75,related
1116019537990889473,"Vacinação contra influenza começa hoje (10), e segue até o dia 31 de maio em sete unidades de saúde da cidade. . #IMPACTO #ImpactoNotícias #Adamantina <url>",23,sentiment,79,positive
1116019539089723392,"Sexta o Darwin vai: tomar vacina, cortar unha e tomar banho. Será que é muito estresse pra um dia?",22,related,76,not_related
1116019626280988674,Ministro faz apelo para público-alvo se vacinar contra a gripe <url>,22,related,75,related
1116019626280988674,Ministro faz apelo para público-alvo se vacinar contra a gripe <url>,23,sentiment,79,positive
1116019745873104898,"Pegar meu cartão de vacina e descobrir que tomei a última em 2009, 10 anos sem tomar uma vacina e isso quer dizer que TOMEI NO CU... vou ter que tomar um monte irmão",22,related,75,related
1116019745873104898,"Pegar meu cartão de vacina e descobrir que tomei a última em 2009, 10 anos sem tomar uma vacina e isso quer dizer que TOMEI NO CU... vou ter que tomar um monte irmão",23,sentiment,79,neutral
1116019927381680129,A escola está ajudando famílias do bairro. Muitos perderam tudo! A quadra está acolhendo as famílias e aceitando ajudas. #SantaCruz,22,related,75,related
1116040221039005696,Paciente que morreu de febre amarela assinou termo se recusando a tomar vacina <url>,22,related,75,related
1116040221039005696,Paciente que morreu de febre amarela assinou termo se recusando a tomar vacina <url>,23,sentiment,79,neutral
1116040424093888512,Levei o gordinho pra tomar vacina e levei uma tbm,22,related,75,related
1116040424093888512,Levei o gordinho pra tomar vacina e levei uma tbm,23,sentiment,79,positive
1116040491286564864,"E o medo que eu tenho de tomar vacina.. to aqui esperando pra tomar duas, pensando seriamente em sair correndo",22,related,75,related
1116040491286564864,"E o medo que eu tenho de tomar vacina.. to aqui esperando pra tomar duas, pensando seriamente em sair correndo",23,sentiment,79,negative
1116040541333012486,MT tem uma morte por Influenza confirmada e mais duas sob suspeita; vacinação começa nesta semana <url> <url>,22,related,75,related
1116040541333012486,MT tem uma morte por Influenza confirmada e mais duas sob suspeita; vacinação começa nesta semana <url> <url>,23,sentiment,79,positive
1116044687532412929,Vacina previne complicações da gripe em grupos de risco <url> <url>,22,related,75,related
1116044687532412929,Vacina previne complicações da gripe em grupos de risco <url> <url>,23,sentiment,79,positive
1116044696428609537,"além de perder a identidade 20 dias antes da prova, agora eu tbm perdi meu cartão de vacina,,,,, ai q lindo 😤",22,related,75,related
